TABLE auth_user


TABLE auth_user_tag_groups


TABLE users


TABLE Colleges
Colleges.id,Colleges.Name,Colleges.Oxbridge
86,"Wadham, Oxford",True
87,"Homerton, Cambridge",True
88,"Murray Edwards, Cambridge",True
89,University College Dublin,False
90,Trinity College Dublin,False
91,"Saïd Business School, Oxford",True
92,"Judge Business School, Cambridge",True
93,"University College, Cork",False
94,National Trust for Scotland,False
95,"MRC-LMB, Cambridge",True
96,English Speaking Union,False
97,Scottish Development International,False
98,"Weatherall Institute, Oxford",True
99,"Reuben, Oxford",True
100,British American Business Council,False


TABLE Email_Lists
Email_Lists.id,Email_Lists.Listname,Email_Lists.Member,Email_Lists.Daemon,Email_Lists.Description
1,Member Events,True,2025-04-08 11:19:29,Notices of all Society events except <b>Pub Nights</b>.
3,Pub Nights,True,<NULL>,Notices of informal Society Pub Nights.
4,OxCam10,False,<NULL>,Notices of informal events organized by the Society's OxCam10 Group for alumni within 10 years of graduation.
5,BABCNE,True,<NULL>,"Notices of selected <a href=""https://www.babcne.org""; style=""white-space: normal"">British American Business Council</a> events."


TABLE Members


TABLE Emails
Emails.id,Emails.Member,Emails.Email,Emails.Mailings,Emails.Modified
2485,<NULL>,<NULL>,<NULL>,2024-01-12 11:48:08


TABLE Events


TABLE Event_Tickets


TABLE Event_Selections


TABLE Event_Survey


TABLE Pages
Pages.id,Pages.Page,Pages.Root,Pages.Parent,Pages.Hide,Pages.Link,Pages.Content,Pages.Views,Pages.Created,Pages.Modified
1,Home,<NULL>,<NULL>,False,<NULL>,"#####Welcome to the Oxford and Cambridge Society of New England, a regional alumni network.
We are a member of both University’s alumni networks and are the local leg of the stool of your connections to Oxford and Cambridge. We are an independent, volunteer-run, non-profit organization whose purpose is to promote and support the interests, welfare and influence of the Universities of Oxford and Cambridge, U.K., in the New England region.

######Coming Events:
[[upcoming_events]]

All OxCam alums are invited to **[join the Society](https://oxcamne.pythonanywhere.com/oxcam/registration)**.  The annual membership subscription is $30, but this is reduced to $10 for full-time students and recent graduates (within the past year). Members have access to our online **[Member Directory](https://www.google.com/url?q=https%3A%2F%2Foxcamne.pythonanywhere.com%2Foxcam%2Fdirectory)**. Or you can **[join the email list](https://oxcamne.pythonanywhere.com/oxcam/registration?mail_lists=Y)** or follow us on **[Instagram](https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Foxcamne%2F&sa=D&sntz=1&usg=AFQjCNFhsTPnK2xup0MIc7Sj_QroEOFX_A)** or **[Facebook](https://www.facebook.com/oxcamne)** to stay informed.

If you are a New England based student thinking of applying to Oxford or Cambridge, **[we can help](https://oxcamne.pythonanywhere.com/oxcam/web/Oxbridge Enquiries)**. We are also a resource for New England high school college counsellors interested in advising their students on the possibilities of attending Oxford or Cambridge.

If you are within ten years of your graduation, you may be interested in connecting with **[OxCam10](https://oxcamne.pythonanywhere.com/oxcam/web/OxCam10)**, our affiliated young alumni group.

If you are part of the New England innovation ecosystem in some way both Oxford and Cambridge have alumni groups devoted to entrepreneurship.  Visit the **[Oxford Entrepreneurs Network](https://oxfordentrepreneurs.net/)** or **[CamEntrepreneurs](https://www.alumni.cam.ac.uk/group/camentrepreneurs)** for information.  You can join them (**[here](https://mailchi.mp/c7a4bde5fb85/oxford_entrepreneurs_network_subscribe)** Oxford or **[here](https://camentrepreneurs.mn.co/feed)** (Cambridge).

All of the Society's events are run by volunteers. This dedicated and diligent group plans, coordinates and organizes each function. If you would like to help out and **[get involved](https://oxcamne.pythonanywhere.com/oxcam/web/Get Involved)** please let us know. If you know of any Oxonians or Cantabrigians in New England please do let them know about this website, the Society and its events.

A sampling of events is illustrated below, or you can explore [recent events](https://oxcamne.pythonanywhere.com/oxcam/web/Recent Events).

<p style=""float:left; margin:0px 15px 0px 0px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=1Ct_qWsEB_0Gxw22uvnP2IYROZvNMLB7w"" alt=""bikes""></p>
Our first-ever Oxford and Cambridge Society bike ride took place on Saturday August 20th 2022, starting out at 9:00am.  
This was a leisurely cycle along the historic <a href=""http://minutemanbikeway.org/"">Minuteman Bikeway</a>, a paved multi-use trail that goes from Alewife to Bedford via Lexington. The trail closely approximates the route that Paul Revere took on his famous ride in 1775.

<div style=""clear: both;""></div>

<p style=""float:right; margin:0px 0px 0px 15px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=1WwgSYtlHyglShCdfO-waMyHOIQpwqdqj"" alt=""hike""></p>
Our first ever Society hike at the Middlesex Fells, on June 27, 2021, was a great success, as you can see ...

<div style=""clear: both;""></div>

<p style=""float:left; margin:0px 15px 0px 0px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=1Q3h1OqAkqgt6WVQEao_CFj_EcYIKeJyx"" alt=""polo""></p>
... as was our afternoon watching Polo at [Myopia Hunt Club]() on Sunday June 13, 2021.

<div style=""clear: both;""></div>

<p style=""float:right; margin:0px 0px 0px 15px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=1eGtFgT8ueQ33D7MOuiI3UqGeVUg1cCbo"" alt=""christmas2019""></p>
Annual Christmas Dinner, Sunday December 8, 2019

[Watch the 2 minute video](https://drive.google.com/file/d/1TKDmXKQ-lXAq2W3JQNXv5GRoht5F8X_A/view)

or [view photo album](https://drive.google.com/drive/u/1/folders/1Vvq3b63LqT7W1ccoi3ikh_AXmEsgaNcn)

<div style=""clear: both;""></div>

<p style=""float:left; margin:0px 15px 0px 0px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=1ko_THoqmP6s6AGovLrKntcvhTAizXXzG"" alt=""freshers""></p>
Freshers & New Members Reception

Thursday September 5, 2019

[View 2 minute video](https://drive.google.com/file/d/15JgL2R0MjIDhOXgseHCyPuDjaWpZ9Mk1/view) or

[view photo album](https://drive.google.com/drive/u/1/folders/1tz_7nlY5zfFYseA68GjYlu1lQ9OU2koa).

<div style=""clear: both;""></div>

<p style=""float:right; margin:0px 0px 0px 15px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=1LK5I6w_e5WITHUdXRreL0BulrZyPZPze"" alt=""christmas2019""></p>
Annual Spring Dinner, Saturday April 6, 2019

[view album](https://drive.google.com/drive/folders/1eP4oc0OLg8GFF0_bXzrWzrcR09P-e2l8)

<div style=""clear: both;""></div>

<p style=""float:left; margin:0px 15px 0px 0px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=16JUwQzdw73dqKRxYQYgLYBdDm8y5EjwX"" alt=""burns2019""></p>
12th Annual Ancient Universities Burns Nicht, January 26, 2019

[view album](https://drive.google.com/drive/u/1/folders/1eFdyiyEhjs3X-Y2kJfyoyGM9Qm0uOi-r) of photos and videos.

<div style=""clear: both;""></div>

<p style=""float:right; margin:0px 0px 0px 15px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=1zN1-KuAJMmkQjrp1iCi33B5AqubFS1tb"" alt=""hocr2019""></p>
Head of the Charles Regatta, 2018

<div style=""clear: both;""></div>

<p style=""float:left; margin:0px 15px 0px 0px""><img src=""https://drive.google.com/thumbnail?sz=w400&id=14SWSCsgutcy6kwkyFXtFQJsYKXquEU3o"" alt=""40th2018""></p>
[View album](https://drive.google.com/drive/folders/14bn3uvnImyZXTOQBQLTl1dhuPvlZnHhD?usp=sharing) of photos and videos, or

[Watch a 2-minute video](https://drive.google.com/file/d/1DnGRKx5AHFuFDzvvETwxfpLql_RbNubJ/view?usp=sharing) of the 40th Anniversary Party, April 21st, 2018
",6900,2025-02-06 16:34:34,2025-04-01 21:00:50
2,About,1,<NULL>,False,<NULL>,"###About the Society
A [short history](https://oxcamne.pythonanywhere.com/oxcam/web/History) of the society is available and provides interesting background information. The Society is a Massachusetts 501 c (7) corporation.

[[about_content('Board', 'Advisory')]]
",127,2025-02-07 09:30:21,2025-04-01 21:02:40
3,History,1,2,False,<NULL>,"###An Informal History of the Society
In keeping with the origins of many fine institutions of great antiquity, our early history is obscure. It appears from our meager early archives that the birth of the Society took place in the 1950's initially as a local Oxford Society known as the ""Boston Branch."" A letter from Mason Hammond to a Mr. Bereday on January 20th., 1955, reads ""I don't know when the Oxford Cambridge Boat Race occurs but it might be an occasion on which the Oxford Society could meet and invite Cambridge men to join it."" Mr. Bereday replied with a concern that it not be, the first time around ""a big do"" (which he considered numbers exceeding fifty) and this suggests a history of organizing previous occasions at which Oxonians had got together prior to 1955, probably at various venues in Boston including the Harvard Club. The dinner was duly held at the Signet Club on April 13th., 1955, the speaker being T.S.R. Boase, President of Magdalen. In 1973 the Boston Branch was renamed the Oxford Society of New England.

Obviously Cantabridgians had early uses as dinner guests, but the full legitimization of the rival university in a joint society awaited the initiative of Professor Radu Florescu, the secretary of the Oxford Society since 1975. In 1976, he received rather late notice that the Vice Chancellor of Oxford University, Professor Habakkuk, would be paying a short visit to the Boston area and that, perhaps, it would be appropriate for the Society to host him at a small dinner. Such a suggestion was rather in the nature of a command but the time was short. At the time, Professor Florescu's wife was teaching at the Noble and Greenough School, so the decision was made to hold the dinner at the school since parking would be no problem and the Castle would provide a suitable atmosphere. Professor Florescu feared that his list of former members of Oxford was not completely up to date so in order to boost attendance an eventful decision was taken and invitations were therefore sent out to graduates of both Oxford and Cambridge and the first dinner was held on Saturday, April 3, 1976. 

Old friendships were renewed and new ones begun so that at the end of the evening there was unanimous agreement that the experiment should be repeated the following year and that a new association, the Oxford and Cambridge Society of New England, should be the official host. On that occasion, the first of an annual series of boat races between members of the two universities took place on the river below the Castle. Oxford was the worthy(?) winner but their victory was not often repeated in the following years. Indeed there was one occasion when the Cambridge crew had finished, taken their showers, and joined their spouses and friends for drinks before Oxford appeared out of the rapidly gathering gloom. Since the course in question is not more than five hundred yards in length, it was felt that this performance should have been reported to the Guinness Book of Records. To this day, no one has clearly established what had taken place on the other side of the inlet but the fact that one member of the crew had never been in a boat in his life might have had some effect on the result. 

As the Society grew larger and more functions were held, it was felt that it needed a more formal structure, so a self appointed executive committee met in November 1983 and drew up the Constitution for the Society. Professor Florescu was unanimously elected as the first President and served until December 1984 when Roland Gubisch took over for a two year term. Under his able leadership and that of his successor, Jill Strang, the Society continued to flourish and expand its activities. The three annual dinners, Christmas, Spring and Boat Race are a universally popular fixture in our program and are usually held in the fine facilities at Noble and Greenough School in Dedham or Roxbury Latin School in West Roxbury. In the last few years, we have hosted many additional events such as cocktail parties for new graduates, a social afternoon at the M.I.T. Museum, an evening get together at the Union Club and, more recently, cocktails at Simmons College with a visit to the Van Gogh Exhibition at the Museum of Fine Arts. We celebrated the arrival of the New Millenium in grand style with a May Ball at Nobles. 

The number of speakers who have enlightened and entertained the Society over the years is impressive. Unfortunately the records of the Society are not as impressive. The following represents a partial list (in alphabetical order) but does include all those who have spoken in the last decade: Eric Anderson, Peter Ashton, Warren Ault, Richard Baker, Dame Gillian Beer, Sir John Boyd, Richard Bradley, David Burns, Daniel Coquillette, J. Kenneth Galbraith, Gillian Gill, Peter Gomes, Hannah Gray, Sir John Habakkuk, Sir David Hannay, Seamus Heaney, Peter Hilton, Christopher Hogwood, Anthony Howard, Sir Jeremy Isaacs, Lord Jenkins of Hillhead, Gordon Johnson, Elizabeth Keenan, Samuel Keyser, Uwe Kitzinger, Sir Hans Kornberg, Mary Lefkowitz, Sir Hugh Lloyd-Jones, Jonathan McDowell, Roderick McFarquhar, Philip McLean, Ved Mehta, Mary Moore, Baroness Perry of Southwark, Robert Reich, Andreas Riedlemayer, Christopher Ricks, Malcolm Rogers, Abram Sachar, John Sears, Hedrick Smith, Rosemary Stevens, Oliver Strimpel, Geoff Tabin, Lester Thurow, Margaret Vaillancourt, Sir John Weston, Rt. Hon Shirley Williams, Sir David Williams.

The energy of the more athletic members of the Society was not satisfied with the annual ""fours"" at Nobles and in 1987 a challenge was issued to - and duly accepted by - the Washington Oxford and Cambridge Society to meet in eights on the Charles in Boston. This has not yet become an annual event but the Boston crew has chalked up three victories, two on the Charles and one down on the Potomac. It should be noted that from its inception, the Boston crew has been a co-ed one. 

Other English athletic traditions have been kept alive. The Society's cricket team has played eleven matches with the British Officers' Club of Boston, gaining victory in all but one of these encounters. There was even a cricket festival in July 1987 when teams from the British Officers' Club of Philadelphia and the Commonwealth Club of Boston, along with the other two, could be seen dispatching the ball to the boundary to the admiration - and sometimes bewilderment - of the Americans in the crowd of spectators. More recently the cricket team has spread its wings with matches scheduled in Vermont and Rhode Island. 
Today, the membership is close to 400 and new members are always welcome. Our members include graduates of Oxford and Cambridge and those associated in other ways with the Universities. The varied functions that the Society organizes provide different interests for all and members are always welcome to bring guests (space permitting).",92,2025-02-07 09:34:48,2025-04-01 11:36:14
4,Recent Events,1,<NULL>,False,<NULL>,"###Recent Events

The list excludes informal events such as Pub Nights, and does not include OxCam10 events. You can click on each event to view the full details.

An incomplete list of events prior to 2019 is [here](https://sites.google.com/oxcamne.org/home/history/past-events-prior-to-april-2019).

[[history_content]]",211,2025-02-07 09:45:41,2025-02-09 16:02:29
5,Oxbridge Enquiries,1,<NULL>,True,<NULL>,"###*Thinking of Applying to Oxford or Cambridge?*
<img src=""https://drive.google.com/thumbnail?sz=w400&id=1c7613uBty2bHA3hq-O5s703ZpYjZ8Wru"" alt=""oxford"">
<img src=""https://drive.google.com/thumbnail?sz=w400&id=10qPEIvDGajLDMNM4swJlruH03zgjX9IU"" alt=""cambridge"">

If you or a member of your family are thinking about applying to Oxford or Cambridge, the Society will be happy to introduce you to an alumnus/a and to a family that has recently gone through the admission process with whom you can discuss the many issues and questions you may have, such as:

- What were their experiences of the admissions process like?
- What is a college and how can you choose between them?
- How can you decide what subject to study?
- What is the tutorial/supervision system and what is it like?

If you would like to be introduced to an alumnus/a, **[fill in and submit the form](https://docs.google.com/forms/d/e/1FAIpQLSesj-uFg6HC5963kYYE4wBN89mg1vBRP-mzFhaYj5zGRI7nJQ/viewform?usp=sharing)**. We’ll connect you with a recent graduate of the university you’re more interested in, and if you already have an idea about the most appropriate college, we’ll try to connect you with someone from that college. Aside from those connections, your details are held confidentially.

We can also introduce you to the family of a current student who is willing to share with you some of their experiences and insights from going through the application process and give you some practical tips. 

Speaking to a former or current student can be an excellent way of hearing their personal perspectives and experiences, but please note that they are unable to give concrete guidance on admissions. For information about applying to the University, please see the relevant webpages for Oxford and Cambridge, or contact admissions staff at the University in which you are interested.

**College Counsellors**

International admissions personnel from Oxford and Cambridge make periodic visits to the U.S.  In the form below please select whether you wish to be connected to these Counsellors, or to an alumnus/family, or both.",107,2025-02-07 13:43:55,2025-04-01 10:15:45
6,OxCam10,1,<NULL>,False,<NULL>,"###*OxCam10 - Young Alumni Group*

OxCam10 is targeted at our recent alumni who graduated from Oxford University and Cambridge University within the past ten years. It organizes events including pub nights and ice cream socials. Our goal is to provide a setting for recent alumni to connect and network with each other.

To find out more about OxCam10 please visit **[Facebook](https://www.facebook.com/groups/169410007135411/about/)** or join the **[OxCam10 mailing list](https://oxcamne.pythonanywhere.com/oxcam/registration?mail_lists=Y)**

<p style=""float:right; margin:0px 0px 0px 15px""><img src=""https://drive.google.com/thumbnail?sz=w600&id=1W6wru3OAFmwZzKgwgy0GCZcF9Idhjr5w"" alt=""picnic""></p>
[An autumn picnic in Boston](https://drive.google.com/drive/folders/1Gm0Igihthe5xlV_TUnSCPtwtX4AanJEK?usp=drive_link) on Sunday October 31, 2021 was enjoyed by OxCam10 members ... and an enthusiastic recruit. 14 people  stopped by throughout the afternoon despite our having to switch to a rain date.

<div style=""clear: both;""></div>

<p style=""float:left; margin:0px 15px 0px 0px""><img src=""https://drive.google.com/thumbnail?sz=w600&id=12CRz9X3uF_6wZBvXGHnvI2FLNCzX9GN9"" alt=""downeast""></p>
OxCam10 members enjoyed a [meetup at Downeast Cider](https://drive.google.com/drive/folders/1e2dQUdGfXj_AZ0FwBXKklO-D7iO_RAVT?usp=drive_link) on Sunday August 29, 2021.

<div style=""clear: both;""></div>

<p style=""float:right; margin:0px 0px 0px 15px""><img src=""https://drive.google.com/thumbnail?sz=w600&id=1AFrs9UzrE0frCvgGngspV4juQBaI5hLI"" alt=""jplicks""></p>
On Wednesday July 28, 2021 11  OxCam10 members enjoyed ice cream at J P Licks!

<div style=""clear: both;""></div>

<p style=""float:left; margin:0px 15px 0px 0px""><img src=""https://drive.google.com/thumbnail?sz=w600&id=1LbrQDU9gd9iFBFuH0TmVOINqhKF0OCzo"" alt=""downeast""></p>
We had a very successful [OxCam10 picnic on Saturday May 22, 2021](https://drive.google.com/drive/folders/1fuH8fdRPK2YwQaZb-1WEow7-qWFaDbTq?usp=sharing). This marks our first in-person event of the year, and since the pandemic started!

We had 18 members stop by throughout the afternoon including many new members (along with a few friends)! It was a great success and we had many requests for similar events throughout the summer so we will be planning more events soon.

<div style=""clear: both;""></div>

<p style=""float:right; margin:0px 0px 0px 15px""><img src=""https://drive.google.com/thumbnail?sz=w600&id=12omp_1rdzRmzTaIpKYa4uAK7LTwev7G2"" alt=""jplicks""></p>

<div style=""clear: both;""></div>

<p style=""float:left; margin:0px 15px 0px 0px""><img src=""https://drive.google.com/thumbnail?sz=w600&id=1z8vG-pbAAAuyynrZzvF_qRGkw0bl16tq"" alt=""downeast""></p>
",181,2025-02-07 13:56:49,2025-02-09 16:02:42
7,Membership,1,<NULL>,False,<NULL>,"Membership of the Society is open to all graduates and current and prospective students of the Universities of Oxford and Cambridge as well as those closely associated in other ways such as visiting faculty, Rhodes and Marshall scholars etc. If in doubt about your eligibility, or with other questions, please contact the membership secretary at [secretary@oxcamne.org](mailto:secretary@oxcamne.org). 

For most of us, just the opportunity to meet our fellow members is in itself a sufficient reason to join the Society. But equally the opportunities to socialize, network, be entertained and educated are part of what makes the society vibrant. And, our formal dinners also provide a little nostalgia for those years in college. Members are welcome to bring spouses and guests to the events.

Membership is required to attend our formal events, and for other membership benefits, including an annually updated membership directory and partner organization discounts. The annual membership subscription is $30, but this is reduced to $10 for full-time students and recent graduates (within the past year). 

Members have access to our online **[Member Directory](https://oxcamne.pythonanywhere.com/oxcam/directory)**. The directory is intended for personal use only and is available only to members in good standing. It is searchable by name, college affiliation, and location.


Members please visit **[MyAccount](https://oxcamne.pythonanywhere.com/my_account)** to manage your contact and profile information, membership subscription and credit card information, or to adjust mailing list subscriptions. We accept credit and debit cards via the secure payments processor Stripe. You can also use Apple Pay or Google Pay.

MyAccount and Directory are always available through the menu at top right of our pages.

To view details of and register for upcoming events, please see the list on our [home page](https://oxcamne.pythonanywhere.com/oxcam/web/Home).

All of the Society's events are run totally by member volunteers. This dedicated and diligent group plans, coordinates and organizes each function. If you would like to help out and get involved please let us know. 

#####Keeping in Touch
In addition to invitations to the formal Society events, we occasionally publish notices about other events of interest to members, including our informal monthly pub nights as well as Oxford & Cambridge related events outside the Society. We also publish a newsletter to members at intervals.

You can join our [email list](https://oxcamne.pythonanywhere.com/oxcam/registration?mail_lists=Y) or follow our [Facebook Page](http://www.facebook.com/oxcamne) or [Instagram](https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Foxcamne%2F&sa=D&sntz=1&usg=AFQjCNFhsTPnK2xup0MIc7Sj_QroEOFX_A) to keep up to date.

The Society also maintains a group on [LinkedIn](http://www.google.com/url?q=http%3A%2F%2Fwww.linkedin.com%2Fgroups%3Fhome%3D%26gid%3D986%26trk%3Danet_ug_hm&sa=D&sntz=1&usg=AFrqEzd7Q62KttYZzdsDSh3xldD_vtkgUw) that you might like to join. 

#####Questions/Problems
Please address these to  [secretary@oxcamne.org](mailto:secretary@oxcamne.org).

If you wish to make US tax deductible donations to your university or college, please contact their offices in New York, click on Universities for more information. ",128,2025-02-07 14:03:04,2025-04-01 21:06:29
8,Get Involved,1,7,False,<NULL>,"###*Get Involved!*

All of the Society's events are run by member volunteers. This dedicated and diligent group plans, coordinates and organizes each function.
 
The Society is constantly on the look out for new ideas and suggestions to make the organization even more responsive to members. Over the years, the Society has always benefited from a regular flow of new volunteers, bringing new ideas and suggestions to the organization.

Some of the ways to get involved and help out include:

- suggestions for and coordinating with potential speakers
- identify and arrange venues for events
- become involved with the Event's committee (coordinating with caterers, helping with logistics on the day of the event) 
- ideas for and setting up new events

If you would like to contribute in one of the above ways please email [secretary@oxcamne.org](mailto:secretary@oxcamne.org).",141,2025-02-07 14:23:38,2025-04-01 11:35:58
9,The Universities,1,7,False,<NULL>,"###*The Two Universities*

Through the Universities' main web sites in the United Kingdom you can connect to your college and browse through an infinite variety of information about the universities:

Oxford University [www.ox.ac.uk](https://www.ox.ac.uk)  
Cambridge University [www.cam.ac.uk](https://www.cam.ac.uk)

Each University also maintains a central web site for alumni. This is the place to go for alumni news, events, travel opportunities and links to alumni groups around the world and much more:

[www.alumni.ox.ac.uk](https://www.alumni.ox.ac.uk)  
[www.alumni.cam.ac.uk](https://www.alumni.cam.ac.uk)

Finally, both Universities maintain offices in New York specifically to keep in contact with its many alumni in the USA. Check out their many services here. The IRS recognizes these as charitable organizations and you can make tax deductible gifts to your university or college through these sites:

[www.oxfordna.org](https://www.oxfordna.org)  
[www.cantab.org](https://www.cantab.org)",72,2025-02-07 14:35:56,2025-04-01 11:36:03
